ID,spaceSessionId,userId,createdAt,updatedAt,joinDate,leftDate,parentSpaceSessionId,openSpaceUser
150053,119992,14327,7/1/2023 6:56,7/1/2023 6:56,7/1/2023 6:55,7/1/2023 6:56,,0
150054,119993,14327,7/1/2023 6:57,7/1/2023 6:57,7/1/2023 6:57,7/1/2023 6:57,,0
150055,119994,14327,7/1/2023 7:38,7/1/2023 7:38,7/1/2023 7:37,7/1/2023 7:38,,0
150056,119995,14327,7/1/2023 7:43,7/1/2023 7:43,7/1/2023 7:38,7/1/2023 7:43,,0
150057,119996,14327,7/1/2023 9:39,7/1/2023 9:39,7/1/2023 9:38,7/1/2023 9:39,,0
150058,119997,334,7/1/2023 9:48,7/1/2023 9:48,7/1/2023 9:48,7/1/2023 9:48,,0
150059,119998,14327,7/1/2023 9:51,7/1/2023 9:51,7/1/2023 9:51,7/1/2023 9:51,,0
150060,119999,14327,7/1/2023 9:54,7/1/2023 9:54,7/1/2023 9:52,7/1/2023 9:54,,0
150061,120000,14327,7/1/2023 9:54,7/1/2023 9:54,7/1/2023 9:54,7/1/2023 9:54,,0
150062,120001,14327,7/1/2023 9:57,7/1/2023 9:57,7/1/2023 9:57,7/1/2023 9:57,,0
150063,120002,14327,7/1/2023 9:58,7/1/2023 9:58,7/1/2023 9:58,7/1/2023 9:58,,0
150064,120003,14327,7/1/2023 10:01,7/1/2023 10:01,7/1/2023 10:01,7/1/2023 10:01,,0
150065,120004,14327,7/1/2023 10:04,7/1/2023 10:04,7/1/2023 10:04,7/1/2023 10:04,,0
150066,120005,14327,7/1/2023 10:06,7/1/2023 10:06,7/1/2023 10:05,7/1/2023 10:06,,0
150067,120006,14327,7/1/2023 10:06,7/1/2023 10:06,7/1/2023 10:06,7/1/2023 10:06,,0
150068,120008,334,7/1/2023 10:08,7/1/2023 10:08,7/1/2023 10:08,7/1/2023 10:08,,0
150069,120007,14327,7/1/2023 10:09,7/1/2023 10:09,7/1/2023 10:08,7/1/2023 10:09,,0
150070,120009,14327,7/1/2023 10:13,7/1/2023 10:13,7/1/2023 10:10,7/1/2023 10:13,,0
150071,120010,14327,7/1/2023 13:59,7/1/2023 13:59,7/1/2023 13:34,7/1/2023 13:59,,0
150072,120012,14266,7/1/2023 14:50,7/1/2023 14:50,7/1/2023 14:48,7/1/2023 14:50,,0
150073,120011,14327,7/1/2023 16:40,7/1/2023 16:40,7/1/2023 14:00,7/1/2023 16:40,,0
150074,120014,14327,7/1/2023 16:42,7/1/2023 16:42,7/1/2023 16:42,7/1/2023 16:42,120013,0
150075,120016,14327,7/1/2023 16:47,7/1/2023 16:47,7/1/2023 16:42,7/1/2023 16:47,120015,0
150076,120017,33924,7/1/2023 23:21,7/1/2023 23:21,7/1/2023 23:21,7/1/2023 23:21,,0
150077,120018,33926,7/1/2023 23:21,7/1/2023 23:21,7/1/2023 23:21,7/1/2023 23:21,,0
150078,120018,33927,7/1/2023 23:21,7/1/2023 23:21,7/1/2023 23:21,7/1/2023 23:21,,0
150079,120020,33928,7/1/2023 23:21,7/1/2023 23:21,7/1/2023 23:21,7/1/2023 23:21,,0
150080,120019,33924,7/1/2023 23:21,7/1/2023 23:21,7/1/2023 23:21,7/1/2023 23:21,,0
150081,120021,33927,7/1/2023 23:21,7/1/2023 23:21,7/1/2023 23:21,7/1/2023 23:21,,0
150082,120021,33926,7/1/2023 23:21,7/1/2023 23:21,7/1/2023 23:21,7/1/2023 23:21,,0
150083,120022,33928,7/1/2023 23:21,7/1/2023 23:21,7/1/2023 23:21,7/1/2023 23:21,,0
150084,120023,33924,7/1/2023 23:21,7/1/2023 23:21,7/1/2023 23:21,7/1/2023 23:21,,0
150085,120023,33925,7/1/2023 23:21,7/1/2023 23:21,7/1/2023 23:21,7/1/2023 23:21,,0
150086,120025,33928,7/1/2023 23:21,7/1/2023 23:21,7/1/2023 23:21,7/1/2023 23:21,,0
